Record Creation ,Frequent Flier Number,Join Date,First Name,Last Name,Inquiry Type,Most Recent Flight #,Lounge Used?,Departing Airport,Arrival Airport,Planned Snack?,Additional Snack?,# of Included Checked Bags,Total # of Checked Bags,Flight Delayed?
2021-03-05,7585690923.0,,susan,moore,2,K65727856,True,7,5,1,0,,23.0,1
2023-03-20,Unknown,2021-03-31,SUSAN,moore,1,B67671667,False,8,0,1,0,3.0,19.0,0
2023-01-06,7585690923.0,2021-03-31,susan,moore,1,S77348775,False,8,0,0,1,,7.0,1
2021-08-07,7585690923.0,,SUSAN,Moore,2,B16204896,True,6,4,0,0,,18.0,1
2023-12-06,7585690923.0,2021-03-31,susan,Moore,1,I84811193,True,8,4,0,1,4.0,10.0,0
2022-11-07,2006254277.0,,,Allen,1,Q17537727,False,9,10,0,0,0.0,5.0,0
2023-05-27,2006254277.0,,ernest,Allen,0,H38511376,False,6,5,0,0,0.0,20.0,0
2021-08-08,2006254277.0,,ernest,Allen,0,C51749818,True,8,9,1,0,,13.0,0
2022-11-19,2006254277.0,,ernest,allen,1,L28350189,True,0,5,0,0,1.0,12.0,0
2023-10-07,Unknown,,ernest,Allen,0,W84526593,False,3,7,1,0,4.0,2.0,0
2024-01-03,4326823941.0,1997-06-22,richard,jones,3,O33032585,False,5,4,1,0,0.0,,1
2024-02-18,4326823941.0,,RICHARD,Jones,2,V82742603,True,11,4,0,1,0.0,20.0,1
2021-03-29,4326823941.0,,RICHARD,Jones,3,Z71433611,True,9,0,1,1,8.0,7.0,1
2023-05-09,4326823941.0,,richard,Jones,2,D71172376,True,3,1,1,0,0.0,13.0,1
2024-06-26,8178926591.0,,SHAWN,Smith,1,F75055107,False,9,4,0,0,0.0,14.0,1
2022-08-01,8178926591.0,,SHAWN,smith,0,,True,1,0,0,0,0.0,8.0,0
2021-09-12,8178926591.0,,shawn,Smith,4,P31025555,False,2,11,1,0,,7.0,0
2022-06-13,8178926591.0,,SHAWN,Smith,4,L42850538,True,1,4,0,0,,4.0,0
2022-07-31,8178926591.0,,SHAWN,smith,3,K18226152,True,8,3,1,0,0.0,10.0,1
2023-06-27,8337928883.0,,jeffery,miller,4,X38082053,False,8,0,1,0,0.0,5.0,1
2024-01-31,8337928883.0,,jeffery,miller,2,P81196631,True,10,0,0,0,,9.0,0
2021-09-22,8337928883.0,,JEFFERY,,4,F93669126,True,10,10,1,0,0.0,10.0,0
2021-04-30,8337928883.0,,jeffery,miller,1,Q09108262,True,1,10,0,1,8.0,6.0,1
2021-05-18,8337928883.0,1995-10-11,jeffery,,2,Z19801105,False,8,3,1,0,2.0,8.0,0
2022-09-28,9825953990.0,1991-01-01,janet,martinez,0,J09457618,True,4,9,1,0,9.0,17.0,0
2023-11-11,9825953990.0,,janet,martinez,0,B93119823,True,8,6,1,0,2.0,9.0,1
2024-09-11,9825953990.0,1991-01-01,JANET,martinez,0,I25876824,True,7,3,0,1,9.0,18.0,1
2021-10-21,9825953990.0,,JANET,Martinez,3,O68933642,False,5,11,0,0,0.0,10.0,1
2022-03-01,4489829680.0,,sean,morales,0,S03111863,False,9,0,1,0,4.0,8.0,0
2022-06-04,4489829680.0,,sean,morales,0,J09313944,False,1,4,1,1,2.0,20.0,0
2023-03-18,Unknown,,sean,morales,0,P32699312,False,1,2,0,1,2.0,4.0,1
2021-12-31,4489829680.0,,SEAN,Morales,3,F30861450,False,1,0,1,0,,,0
2024-05-07,4489829680.0,1997-07-15,sean,Morales,2,J69263047,False,10,11,0,0,2.0,4.0,1
2023-08-06,4489829680.0,,sean,morales,3,F99798262,False,4,8,0,0,,7.0,1
2022-09-06,4489829680.0,,SEAN,Morales,2,M15412930,False,7,3,0,0,3.0,7.0,0
2024-08-25,4489829680.0,,sean,Morales,0,F78986074,False,3,6,1,0,,17.0,1
2022-04-11,4489829680.0,,sean,Morales,2,,False,6,11,0,1,0.0,17.0,0
2022-10-16,4489829680.0,1997-07-15,sean,,0,I81118802,False,9,1,0,1,,12.0,0
2023-10-12,8664900415.0,2006-02-01,KRISTIN,,2,N82452268,False,5,7,0,0,0.0,7.0,1
2021-09-13,8664900415.0,,KRISTIN,Mckenzie,4,F96768036,True,11,2,0,0,0.0,14.0,0
2023-12-27,8664900415.0,,KRISTIN,Mckenzie,1,Z32171369,False,1,7,1,0,,21.0,1
2024-08-21,Unknown,2006-02-01,kristin,mckenzie,3,Y05702343,False,0,4,0,0,4.0,2.0,1
2023-10-20,Unknown,,kristin,mckenzie,3,Q20703754,False,9,4,1,0,10.0,5.0,0
2021-11-30,9643173128.0,2021-12-04,chloe,marshall,0,W87775932,True,5,0,0,0,2.0,14.0,0
2021-05-02,Unknown,,CHLOE,marshall,3,H88531426,False,8,5,1,0,,18.0,1
2022-08-20,9643173128.0,2021-12-04,chloe,Marshall,2,J78057561,False,8,7,0,0,0.0,11.0,1
2023-06-15,9643173128.0,2021-12-04,CHLOE,,4,T50334293,True,4,6,1,0,13.0,2.0,1
2024-09-05,7469667722.0,,RYAN,,1,O95103342,True,0,9,1,1,0.0,19.0,1
2023-03-01,7469667722.0,,RYAN,Harris,0,E31587584,False,2,0,0,0,13.0,10.0,0
2021-08-25,7469667722.0,,RYAN,harris,1,H57265787,True,5,2,0,1,3.0,19.0,0
2024-01-10,7469667722.0,,RYAN,harris,0,C74388679,True,3,8,0,1,0.0,14.0,0
2024-01-09,8430707997.0,1997-11-14,JENNIFER,kim,4,G02543335,True,3,2,1,0,2.0,17.0,1
2023-02-15,8430707997.0,,JENNIFER,Kim,1,J71100735,True,3,4,1,1,11.0,3.0,1
2022-12-20,8430707997.0,1997-11-14,,kim,3,T76011493,False,3,7,1,0,4.0,15.0,0
2024-03-16,8430707997.0,,JENNIFER,Kim,0,,True,7,3,0,0,,24.0,1
2023-08-23,8430707997.0,1997-11-14,jennifer,Kim,1,T87651378,False,1,5,1,1,4.0,9.0,1
2022-03-05,798566447.0,,joseph,Brooks,0,Y10658674,True,0,7,1,1,11.0,10.0,1
2022-02-16,798566447.0,,JOSEPH,Brooks,3,A17249659,True,0,10,0,1,11.0,3.0,0
2024-06-04,798566447.0,,JOSEPH,brooks,4,A27260107,False,5,7,0,0,0.0,7.0,0
2023-10-13,3135719663.0,1997-12-02,jessica,williams,3,Y26533709,False,5,7,1,0,,4.0,0
2024-08-08,3135719663.0,1997-12-02,jessica,williams,3,D48976409,True,6,2,1,1,,2.0,0
2021-02-08,3135719663.0,1997-12-02,JESSICA,williams,0,,True,10,4,0,1,,19.0,0
2022-11-12,1525568044.0,,CHAD,Keller,1,X31269699,True,10,2,0,1,6.0,13.0,1
2022-06-16,Unknown,,CHAD,keller,0,T75752335,False,3,0,1,0,10.0,8.0,1
2023-11-19,1525568044.0,2020-04-08,CHAD,,1,A37191216,False,3,7,1,0,8.0,14.0,0
2023-07-22,1525568044.0,,chad,keller,0,D66433485,True,9,3,1,0,12.0,6.0,1
2023-12-04,1525568044.0,2020-04-08,CHAD,Keller,3,,False,4,8,0,1,4.0,6.0,0
2021-12-07,9694784205.0,2012-11-11,MARY,campbell,2,V68056948,True,7,9,1,1,0.0,7.0,0
2022-06-13,9694784205.0,,MARY,campbell,4,V15568043,False,5,6,0,2,1.0,23.0,1
2021-03-17,9694784205.0,,mary,Campbell,4,W10600203,False,4,6,1,0,,12.0,1
2022-10-26,9694784205.0,,mary,Campbell,0,G24778565,False,8,3,1,0,1.0,14.0,1
2021-01-02,5352111805.0,,frederick,calderon,3,B25019156,False,9,10,0,1,1.0,7.0,0
2023-07-07,5352111805.0,2009-06-25,frederick,calderon,1,Z07146192,False,7,0,0,2,,21.0,0
2023-01-14,5352111805.0,,frederick,calderon,3,Y04217792,True,6,4,1,0,0.0,19.0,1
2024-05-06,5352111805.0,,frederick,Calderon,3,L17470855,False,4,1,0,2,0.0,17.0,0
2022-10-09,5352111805.0,,frederick,calderon,2,X15271071,True,6,9,2,0,,7.0,1
2023-03-11,5352111805.0,2009-06-25,FREDERICK,calderon,3,P56889674,False,4,0,0,0,,3.0,1
2021-07-02,5352111805.0,,FREDERICK,calderon,1,I69868003,True,1,6,1,0,,18.0,1
2021-11-11,5352111805.0,,FREDERICK,calderon,2,X62585042,True,7,2,1,1,,15.0,0
2023-08-28,5352111805.0,,frederick,Calderon,0,R31889888,False,8,4,1,0,0.0,5.0,0
2022-02-25,5352111805.0,2009-06-25,FREDERICK,Calderon,2,W27194196,False,4,2,1,1,,10.0,1
2023-12-02,9179553386.0,,,Carter,1,U20157478,True,10,8,1,1,4.0,12.0,0
2022-05-07,9179553386.0,,CARMEN,Carter,2,K04167711,False,4,3,1,0,0.0,7.0,1
2023-09-09,9179553386.0,1998-03-17,CARMEN,,3,Z88949234,False,2,6,0,0,1.0,17.0,0
2023-03-05,9179553386.0,1998-03-17,CARMEN,Carter,0,X65302661,False,3,7,0,0,,17.0,1
2022-07-31,9179553386.0,,CARMEN,Carter,3,M04377990,False,7,0,0,0,,4.0,1
2023-05-16,2197672045.0,,CODY,Chen,0,E95696317,True,7,1,1,1,0.0,10.0,1
2021-06-18,2197672045.0,,CODY,,1,,False,6,0,1,1,,14.0,0
2024-10-06,2197672045.0,2021-08-25,CODY,Chen,3,H09084758,False,6,8,0,1,12.0,22.0,1
2021-03-13,367459745.0,,jessica,Colon,3,O57911850,False,8,6,1,0,0.0,14.0,1
2023-05-09,367459745.0,,jessica,Colon,0,P48489560,True,6,0,0,0,,9.0,1
2023-05-27,Unknown,,jessica,colon,3,X11732945,False,0,1,0,1,,6.0,0
2023-08-30,367459745.0,,jessica,colon,3,V77367751,False,6,1,1,0,1.0,10.0,1
2024-03-21,367459745.0,,jessica,colon,2,H34885094,True,8,1,0,0,0.0,8.0,0
2024-05-31,367459745.0,,jessica,colon,2,C93387142,True,8,6,1,1,,7.0,1
2021-05-18,367459745.0,,JESSICA,colon,4,J55758274,False,6,4,0,0,9.0,6.0,1
2022-09-15,367459745.0,,JESSICA,colon,1,Y05882669,False,5,11,1,1,0.0,10.0,0
2022-03-03,367459745.0,,JESSICA,Colon,1,Z18845189,True,6,3,0,1,2.0,9.0,0
2021-11-21,367459745.0,,jessica,colon,2,R24360966,False,0,4,0,1,12.0,,0
2021-05-18,Unknown,,james,Williamson,3,W09390613,False,0,10,0,1,0.0,18.0,0
2024-04-20,8213060713.0,,JAMES,williamson,3,W16109016,True,2,4,1,0,,14.0,0
2021-02-16,8213060713.0,,james,Williamson,3,E12918966,False,3,2,1,0,,16.0,1
2022-01-23,8213060713.0,,james,Williamson,0,W43642112,False,4,5,1,0,13.0,3.0,0
2022-02-06,8213060713.0,,james,williamson,0,X47454907,False,5,4,0,1,0.0,13.0,0
2023-06-13,141066351.0,,jeff,Stephens,2,F90780778,True,3,6,1,0,3.0,22.0,1
2021-04-01,141066351.0,,jeff,Stephens,1,W14452681,False,11,10,0,0,0.0,20.0,0
2023-06-30,141066351.0,,JEFF,Stephens,2,C99042720,True,3,9,0,0,0.0,17.0,1
2021-01-22,141066351.0,,JEFF,Stephens,1,T73701942,True,1,9,0,0,13.0,14.0,0
2022-08-26,141066351.0,,jeff,Stephens,2,,False,5,9,0,0,,10.0,1
2022-03-06,5075217105.0,,jennifer,johnson,2,,True,11,2,1,1,4.0,3.0,0
2023-03-08,5075217105.0,2010-11-10,JENNIFER,Johnson,3,S65470242,True,0,1,1,0,7.0,13.0,1
2022-03-25,5075217105.0,2010-11-10,jennifer,Johnson,1,K06326825,True,8,0,0,1,8.0,1.0,1
2022-02-04,5075217105.0,2010-11-10,jennifer,Johnson,0,L18220790,False,8,10,1,0,1.0,23.0,0
2022-03-21,5075217105.0,,JENNIFER,johnson,1,J00568018,False,1,4,1,0,1.0,4.0,1
2024-08-15,3748568878.0,,MANUEL,hernandez,2,U60938810,True,2,1,0,2,0.0,1.0,0
2022-09-12,3748568878.0,,manuel,hernandez,2,E42911481,True,5,9,0,1,8.0,10.0,1
2023-05-23,3748568878.0,,MANUEL,Hernandez,0,Z27924056,False,4,8,2,0,9.0,10.0,1
2023-07-05,3748568878.0,,MANUEL,Hernandez,1,N16669867,True,4,8,0,0,,,0
2024-07-17,2724020682.0,,karen,,1,T89508306,True,11,4,1,1,7.0,21.0,0
2023-04-11,2724020682.0,,KAREN,lam,2,Z84456795,False,9,5,0,0,0.0,1.0,1
2022-04-01,2724020682.0,,KAREN,Lam,2,Z22564399,True,0,8,1,0,6.0,7.0,0
2022-10-18,2724020682.0,1990-07-01,,Lam,0,D26353278,True,5,1,0,1,14.0,22.0,1
2022-04-09,2724020682.0,,karen,Lam,0,X77646080,False,5,6,0,1,4.0,21.0,0
2024-09-26,456630822.0,,,swanson,2,K51338527,True,5,7,2,0,4.0,18.0,1
2021-06-06,456630822.0,,stephanie,swanson,0,B99525698,True,7,3,1,0,14.0,7.0,0
2024-01-05,456630822.0,,STEPHANIE,swanson,0,L49117083,False,10,9,0,0,,23.0,0
2023-04-24,456630822.0,2007-02-01,stephanie,swanson,1,X87548389,True,1,9,0,1,0.0,6.0,1
2024-07-02,456630822.0,,STEPHANIE,swanson,1,U37453032,False,6,3,1,1,0.0,4.0,0
2023-09-29,768641583.0,,dawn,marsh,4,G01145527,True,5,4,0,1,2.0,7.0,1
2024-05-10,768641583.0,,dawn,Marsh,3,,True,2,4,0,2,1.0,5.0,1
2021-02-16,768641583.0,2011-12-02,dawn,Marsh,0,F00188206,False,1,3,2,0,0.0,1.0,1
2022-01-09,768641583.0,,dawn,Marsh,0,U01028585,False,11,8,1,0,,13.0,0
2021-07-04,125797120.0,2009-02-12,KIMBERLY,Blevins,1,D29386066,True,0,4,0,1,,13.0,1
2023-03-14,125797120.0,,KIMBERLY,Blevins,4,N40066045,False,4,8,0,0,1.0,3.0,1
2023-09-27,125797120.0,,KIMBERLY,blevins,1,U58612120,True,7,0,0,1,2.0,9.0,1
2021-08-27,125797120.0,,kimberly,blevins,2,A61028017,False,1,4,1,2,12.0,16.0,0
2023-04-19,8634936953.0,,LAURA,weaver,2,O07599481,False,8,5,1,0,11.0,1.0,0
2024-02-14,8634936953.0,2002-09-28,laura,,1,,False,8,5,0,0,0.0,2.0,1
2022-10-13,8634936953.0,,,Weaver,2,E29988660,False,3,7,0,1,10.0,9.0,1
2024-05-02,8634936953.0,,laura,Weaver,1,U64335570,True,7,6,0,0,,17.0,0
2021-04-24,8634936953.0,2002-09-28,laura,weaver,1,P40233792,True,2,11,1,1,1.0,14.0,0
2023-03-16,1825304715.0,,ANTHONY,Olson,0,G53127744,True,3,4,0,1,8.0,1.0,1
2022-05-24,1825304715.0,,anthony,Olson,1,Q09503597,True,1,2,0,0,0.0,8.0,0
2021-07-15,1825304715.0,2018-04-19,anthony,olson,2,T16914464,True,3,11,0,1,,13.0,1
2023-03-09,1825304715.0,2018-04-19,ANTHONY,Olson,0,Z85162753,False,3,5,1,1,0.0,5.0,0
2022-06-09,1825304715.0,,ANTHONY,Olson,1,W03095625,False,11,5,2,0,,13.0,0
2024-02-05,5538859186.0,,heather,Esparza,3,L55888797,True,1,11,1,0,6.0,1.0,1
2023-01-24,Unknown,,heather,esparza,2,C20576365,False,2,1,1,0,1.0,16.0,0
2021-12-12,5538859186.0,2005-03-09,HEATHER,Esparza,1,B36042918,True,8,1,0,1,0.0,2.0,1
2023-10-12,5538859186.0,2005-03-09,HEATHER,esparza,0,H87514515,False,7,9,1,1,11.0,7.0,0
2021-12-04,5538859186.0,,HEATHER,esparza,0,R56564397,False,7,3,1,0,,17.0,1
2021-10-09,4112830228.0,,michael,Johnson,3,Z76909826,False,1,0,0,0,12.0,7.0,1
2022-08-09,4112830228.0,,michael,Johnson,1,Q04057956,True,9,3,0,1,1.0,14.0,1
2024-01-17,4112830228.0,,MICHAEL,Johnson,0,,False,9,1,0,1,12.0,6.0,0
2021-02-10,4112830228.0,,michael,Johnson,1,B06040538,False,1,7,0,1,10.0,14.0,1
2024-05-26,1857395211.0,,daniel,young,1,J05929041,True,4,10,1,0,0.0,2.0,0
2022-05-17,1857395211.0,,daniel,Young,1,O93986914,True,5,6,1,0,,16.0,1
2024-05-21,1857395211.0,,daniel,Young,0,U60730037,False,10,11,1,1,4.0,2.0,1
2023-01-15,1857395211.0,2000-08-23,DANIEL,Young,3,,False,7,6,1,1,0.0,3.0,0
2024-09-13,1857395211.0,2000-08-23,daniel,young,4,H63367784,True,8,7,1,1,,21.0,1
2023-04-13,658743757.0,,rachael,Hughes,1,,False,4,5,1,0,,5.0,0
2021-07-18,658743757.0,2001-04-16,,hughes,0,S29540076,True,0,8,1,0,0.0,16.0,0
2021-01-04,658743757.0,2001-04-16,RACHAEL,Hughes,2,R90435937,False,10,5,1,1,13.0,12.0,0
2021-09-19,658743757.0,2001-04-16,RACHAEL,Hughes,2,J82469557,True,6,11,0,1,0.0,14.0,1
2023-10-25,3496962161.0,,HENRY,ford,3,,False,11,8,0,1,0.0,3.0,0
2022-08-17,3496962161.0,1995-11-08,henry,Ford,3,M17339690,False,8,1,1,1,,8.0,0
2024-04-19,3496962161.0,,henry,ford,3,X99857484,True,0,1,1,0,10.0,5.0,0
2021-04-26,3496962161.0,1995-11-08,henry,ford,1,Y87110776,False,3,5,1,1,,10.0,0
2023-06-10,3496962161.0,,HENRY,Ford,0,W05951910,True,1,0,1,1,10.0,4.0,0
2022-11-18,2945751394.0,,angela,ferrell,0,S62837534,False,7,9,1,1,12.0,10.0,0
2021-08-13,2945751394.0,2015-01-27,ANGELA,Ferrell,2,O09351587,False,5,11,1,1,9.0,5.0,0
2024-04-21,2945751394.0,,ANGELA,ferrell,0,M23974046,True,8,6,1,0,0.0,9.0,1
2021-10-26,2945751394.0,,angela,Ferrell,1,H57583374,False,6,0,0,0,0.0,6.0,1
2023-02-26,9019782737.0,2016-12-03,daniel,,1,Y04575924,True,5,0,0,1,0.0,15.0,0
2023-04-17,9019782737.0,,DANIEL,goodman,3,G50966590,False,9,11,1,1,3.0,9.0,1
2024-08-28,9019782737.0,,daniel,Goodman,1,O30950197,True,2,8,0,1,,12.0,0
2023-03-06,9019782737.0,,DANIEL,goodman,1,W24680027,False,6,1,0,1,0.0,1.0,0
2024-09-24,9019782737.0,,DANIEL,Goodman,0,C69837968,False,9,5,0,0,9.0,12.0,1
2024-04-27,746419107.0,,KYLE,Glover,3,X74191237,True,6,3,0,0,,17.0,0
2024-02-13,746419107.0,,KYLE,Glover,1,P57728873,True,3,8,0,0,,10.0,1
2022-08-02,746419107.0,,KYLE,Glover,2,U84616108,True,4,7,0,1,12.0,24.0,0
2023-01-01,746419107.0,,kyle,Glover,1,M27876293,False,7,6,0,0,11.0,20.0,1
2022-09-23,746419107.0,,kyle,Glover,1,V35612770,True,6,1,0,0,,10.0,1
2023-06-10,7624180764.0,,edward,Stevens,1,C20794681,True,3,8,0,0,2.0,17.0,1
2024-04-25,7624180764.0,,edward,stevens,1,W22378509,False,5,9,0,1,,18.0,0
2021-12-13,7624180764.0,,,Stevens,1,U08648221,True,9,1,1,1,,9.0,0
2021-11-30,7624180764.0,,EDWARD,Stevens,1,A30152327,False,4,2,1,1,,,1
2024-07-05,Unknown,,kaitlyn,montoya,3,J33752605,True,4,0,0,2,,6.0,1
2023-07-05,4178900661.0,2002-03-19,KAITLYN,montoya,0,O30613447,False,5,10,0,1,10.0,2.0,0
2024-09-28,4178900661.0,,,Montoya,1,C58788639,True,10,5,1,1,0.0,14.0,0
2024-04-05,4178900661.0,2002-03-19,KAITLYN,Montoya,2,F29947279,True,9,2,0,1,12.0,18.0,0
2022-04-30,Unknown,,kaitlyn,montoya,1,G56163096,True,3,11,1,1,11.0,17.0,0
2022-01-22,4178900661.0,,kaitlyn,Montoya,1,A99445487,False,9,0,1,1,,8.0,0
2024-08-23,4178900661.0,2002-03-19,KAITLYN,Montoya,2,M38747354,True,1,2,0,0,11.0,9.0,0
2022-03-30,4178900661.0,2002-03-19,KAITLYN,Montoya,1,O79146255,False,0,11,1,1,4.0,6.0,1
2022-09-22,4178900661.0,,kaitlyn,Montoya,2,Z89051204,False,8,4,1,1,0.0,4.0,0
2021-06-24,Unknown,,KAITLYN,montoya,0,C65302485,False,7,2,0,1,4.0,3.0,1
2023-11-29,1486974027.0,,sara,Dominguez,2,X49898830,False,3,6,1,1,11.0,8.0,0
